項目別,樣本數,總計,臺灣客家人,福老人,大陸各省市人,原住民,臺灣人,其他族群,不知道/未回答
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
新北市,"4,274",100.0,10.4,73.7,6.7,1.9,6.2,0.2,0.9
板橋區,201,100.0,12.5,68.3,2.9,2.7,10.2,0.5,2.9
三重區,202,100.0,11.4,71.9,5.2,3.6,6.4,-,1.5
中和區,203,100.0,14.7,71.3,10.3,-,2.6,-,1.2
永和區,205,100.0,14.3,61.1,17.5,0.3,6.4,-,0.4
新莊區,200,100.0,10.0,76.4,8.3,0.1,5.3,-,-
新店區,103,100.0,13.2,69.1,10.2,0.2,5.3,0.6,1.4
樹林區,537,100.0,14.4,74.1,1.3,5.8,3.9,0.3,0.2
鶯歌區,103,100.0,7.1,79.2,4.3,2.0,7.1,-,0.4
三峽區,101,100.0,4.4,80.2,7.3,1.3,5.8,1.0,-
淡水區,102,100.0,7.7,80.3,4.0,1.8,6.0,-,0.2
污止區,100,100.0,7.6,72.2,14.0,1.9,4.0,-,0.3
瑞芳區,100,100.0,6.8,74.9,5.8,0.5,11.1,0.9,-
土城區,203,100.0,9.5,79.9,4.4,0.1,5.5,-,0.7
蘆洲區,101,100.0,5.6,78.4,1.9,2.1,9.6,-,2.5
五股區,103,100.0,4.3,73.9,4.9,3.0,13.9,-,-
泰山區,100,100.0,5.0,85.5,2.0,4.0,3.5,-,-
林口區,101,100.0,8.1,76.8,4.9,0.9,9.3,-,-
深坑區,100,100.0,12.0,64.4,12.0,4.0,5.3,1.3,1.0
石碇區,101,100.0,7.1,88.7,1.9,0.8,1.0,0.5,-
坪林區,102,100.0,9.2,81.5,6.8,-,2.3,0.3,-
三芝區,102,100.0,10.7,79.2,2.0,1.0,4.8,-,2.4
石門區,101,100.0,3.6,79.2,3.9,-,13.0,0.3,-
八里區,100,100.0,6.8,80.0,3.4,4.2,3.9,-,1.6
帄溪區,100,100.0,0.6,80.7,4.0,0.4,14.0,-,0.3
雙溪區,100,100.0,8.1,81.0,3.1,1.8,4.5,-,1.4
貢寮區,100,100.0,3.3,74.3,6.1,2.9,8.0,2.8,2.6
金山區,100,100.0,7.9,80.1,5.5,1.4,5.1,-,-
萬里區,100,100.0,6.8,65.7,7.7,9.2,9.2,0.3,1.1
烏來區,403,100.0,11.7,66.9,5.6,15.0,0.6,0.1,0.0
臺北市,"2,393",100.0,12.9,65.6,11.1,1.1,7.5,0.8,1.0
松山區,101,100.0,12.7,67.7,11.7,-,6.4,-,1.5
信義區,602,100.0,16.2,65.8,10.6,1.7,4.8,0.3,0.6
大安區,201,100.0,12.1,64.6,14.9,0.9,6.0,1.2,0.3
中山區,100,100.0,15.2,69.9,6.7,-,8.2,-,-
中正區,477,100.0,9.6,72.6,10.4,1.5,5.4,0.5,-
大同區,101,100.0,6.6,72.5,5.4,1.1,12.4,-,1.9
萬華區,102,100.0,11.8,56.6,15.2,0.9,11.6,1.2,2.8
文山區,205,100.0,12.6,61.3,14.9,0.8,7.5,0.8,2.1
南港區,102,100.0,14.6,70.7,7.9,1.4,5.4,-,-
