,項目別,樣本數,總計,臺灣客家人,福老人,大陸各省市人,原住民,臺灣人,其他族群,不知道/未回答,縣市,鄉鎮市區
0,臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0,,
1,新北市,"4,274",100.0,10.4,73.7,6.7,1.9,6.2,0.2,0.9,,
2,板橋區,201,100.0,12.5,68.3,2.9,2.7,10.2,0.5,2.9,新北市,板橋區
3,三重區,202,100.0,11.4,71.9,5.2,3.6,6.4,-,1.5,新北市,三重區
4,中和區,203,100.0,14.7,71.3,10.3,-,2.6,-,1.2,新北市,中和區
5,永和區,205,100.0,14.3,61.1,17.5,0.3,6.4,-,0.4,新北市,永和區
6,新莊區,200,100.0,10.0,76.4,8.3,0.1,5.3,-,-,新北市,新莊區
7,新店區,103,100.0,13.2,69.1,10.2,0.2,5.3,0.6,1.4,新北市,新店區
8,樹林區,537,100.0,14.4,74.1,1.3,5.8,3.9,0.3,0.2,新北市,樹林區
9,鶯歌區,103,100.0,7.1,79.2,4.3,2.0,7.1,-,0.4,新北市,鶯歌區
10,三峽區,101,100.0,4.4,80.2,7.3,1.3,5.8,1.0,-,新北市,三峽區
11,淡水區,102,100.0,7.7,80.3,4.0,1.8,6.0,-,0.2,新北市,淡水區
12,汐止區,100,100.0,7.6,72.2,14.0,1.9,4.0,-,0.3,新北市,汐止區
13,瑞芳區,100,100.0,6.8,74.9,5.8,0.5,11.1,0.9,-,新北市,瑞芳區
14,土城區,203,100.0,9.5,79.9,4.4,0.1,5.5,-,0.7,新北市,土城區
15,蘆洲區,101,100.0,5.6,78.4,1.9,2.1,9.6,-,2.5,新北市,蘆洲區
16,五股區,103,100.0,4.3,73.9,4.9,3.0,13.9,-,-,新北市,五股區
17,泰山區,100,100.0,5.0,85.5,2.0,4.0,3.5,-,-,新北市,泰山區
18,林口區,101,100.0,8.1,76.8,4.9,0.9,9.3,-,-,新北市,林口區
19,深坑區,100,100.0,12.0,64.4,12.0,4.0,5.3,1.3,1.0,新北市,深坑區
20,石碇區,101,100.0,7.1,88.7,1.9,0.8,1.0,0.5,-,新北市,石碇區
