,附表A-5 單一自我認定主要族群人口百分比-,,,,,,,,
,,,依常住縣市及鄉鎮市區分(續5),,,,,,
,,,,,,,單位：人；%,,
,樣本數,臺灣,,大陸各,,,其他,不知道/,
項目別,,總計,福老人,,原住民,臺灣人,,,
,(人),客家人,,省市人,,,族群,未回答,
臺閩地區,"65,732",100.0,16.2,69.0,5.5,2.7,5.3,0.3,1.0
竹南鎮,412,100.0,23.0,72.2,2.3,1.0,0.7,0.4,0.4
頭份鎮,416,100.0,69.3,25.2,2.8,0.7,1.0,-,1.1
後龍鎮,409,100.0,25.7,70.9,1.1,0.2,0.7,-,1.3
卓蘭鎮,411,100.0,67.2,29.0,2.0,0.3,0.8,-,0.7
大湖鄉,408,100.0,88.1,9.6,0.3,1.2,0.5,-,0.2
公館鄉,403,100.0,86.4,11.1,1.5,0.4,0.2,-,0.4
銅鑼鄉,403,100.0,89.6,7.7,1.1,0.9,-,0.3,0.3
南庄鄉,404,100.0,73.0,16.2,4.4,6.0,-,-,0.3
頭屋鄉,408,100.0,85.3,9.5,1.9,1.0,0.7,-,1.5
三義鄉,408,100.0,67.0,31.7,0.5,0.2,0.5,0.1,0.0
西湖鄉,408,100.0,61.5,34.4,3.3,0.3,0.2,-,0.4
造橋鄉,409,100.0,81.0,17.1,1.7,-,0.1,-,0.1
三灣鄉,404,100.0,79.4,15.3,0.7,0.5,3.5,-,0.7
獅潭鄉,401,100.0,79.2,18.2,0.4,1.6,0.1,0.3,0.1
泰安鄉,401,100.0,42.8,22.3,18.1,16.2,0.6,0.0,-
彰化縣,"2,623",100.0,4.2,83.8,3.1,1.2,6.1,0.2,1.5
彰化市,101,100.0,3.5,83.7,6.2,-,4.5,-,2.0
鹿港鎮,102,100.0,2.4,82.0,2.4,3.8,5.1,-,4.4
和美鎮,103,100.0,3.7,80.3,3.2,-,11.9,-,0.9
線西鄉,100,100.0,0.8,92.7,1.1,0.5,4.0,-,0.8
伸港鄉,101,100.0,2.4,80.1,4.6,3.0,9.1,-,0.9
福興鄉,100,100.0,2.8,92.1,2.9,0.2,1.1,-,1.0
秀水鄉,100,100.0,2.1,88.1,-,0.4,9.4,-,-
花壇鄉,101,100.0,2.5,79.9,5.4,2.6,7.3,-,2.3
芬園鄉,100,100.0,2.9,85.4,-,1.3,10.4,-,-
員林鎮,100,100.0,7.4,73.8,6.1,5.2,4.8,-,2.7
溪湖鎮,100,100.0,3.0,83.6,1.4,-,8.9,-,3.0
田中鎮,100,100.0,11.2,65.4,6.2,2.9,11.2,-,3.1
大村鄉,100,100.0,2.1,91.7,2.3,-,3.9,-,-
埔鹽鄉,100,100.0,2.2,93.7,1.2,-,2.9,-,-
埔心鄉,100,100.0,4.6,82.8,0.9,1.1,9.3,-,1.2
永靖鄉,100,100.0,7.6,80.5,4.1,-,7.6,-,0.3
社頭鄉,102,100.0,2.7,89.6,0.7,1.1,4.4,-,1.5
二水鄉,100,100.0,0.5,93.3,0.8,0.4,4.9,-,-
北斗鎮,100,100.0,2.2,82.5,0.5,3.0,7.6,1.8,2.3
二林鎮,101,100.0,11.0,83.4,1.1,-,0.7,2.9,0.9
田尾鄉,103,100.0,5.2,87.6,-,-,6.8,-,0.5
埤頭鄉,101,100.0,2.6,93.6,1.7,0.2,1.8,-,-
芳苑鄉,106,100.0,4.4,86.9,2.3,0.6,5.9,-,-
註：本表為受訪者居住所在鄉鎮市區，並依據鄉鎮市區人口數占全國總人口數比例加權推估。,,,,,,,,,
,,,附錄 一 - 50,,,,,,
